iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
7|5|66.109.6.82|117.376 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
7|6|205.197.180.41|120.459 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
7|7|205.197.180.54|127.838 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
7|8|216.239.51.47|134.914 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
7|9|216.239.51.53|132.651 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
7|10|66.249.94.20|141.114 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
7|11|216.239.51.245|178.903 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
7|12|108.170.232.71|121.100 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
7|13|209.85.243.254|130.518 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
7|14|209.85.253.1|124.891 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
7|15|209.85.143.201|126.935 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
7|16|173.194.219.113|26.252 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
8|1|192.168.0.1|17.529 ms|||||||
8|2|174.111.102.226|32.797 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
8|3|24.25.62.50|13.245 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
8|4|24.93.67.202|20.609 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
8|5|24.93.64.186|18.391 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
8|6|66.109.6.82|47.888 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
8|7|205.197.180.41|23.593 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
